Date,Open,High,Low,Close,Volume
2014-07-07,126.63,127.03,126.23,127.02,4636886
2014-07-08,127.29,127.53,126.43,127.07,6220335
2014-07-09,127.54,128.26,127.18,127.84,8369851
2014-07-10,129.11,129.21,128.49,128.54,6314294
2014-07-11,128.41,128.83,128.38,128.78,4322535
2014-07-14,125.5,126.1,125.45,125.72,11469917
2014-07-15,125.89,126.32,124.36,124.53,10548113
2014-07-16,125.02,125.47,124.78,124.97,4104117
2014-07-17,125.52,127.55,125.11,127.09,11430637
2014-07-18,125.79,126.21,125.67,126.13,6461677
2014-07-21,126.53,126.55,126.11,126.34,3303835
2014-07-22,126.33,126.43,125.47,125.74,3887606
2014-07-23,125.72,126.04,125.4,125.62,3045018
2014-07-24,124.85,124.87,123.9,124.35,8118607
2014-07-25,124.48,125.93,124.43,125.79,5644498
2014-07-28,125.44,125.67,125.3,125.58,3213705
2014-07-29,125.79,125.88,124.72,125.2,5270794
2014-07-30,124.89,124.93,124.41,124.83,5622346
2014-07-31,123.85,124.07,123.23,123.39,9898582
2014-08-01,124.54,124.81,124.23,124.38,7397317
2014-08-04,124.36,124.47,123.73,123.99,6500560
2014-08-05,123.74,124.52,123.4,123.87,8342542
2014-08-06,125.71,126.0,125.52,125.67,9327849
2014-08-07,125.47,126.51,125.37,126.18,7298926
2014-08-08,126.08,126.41,125.89,126.19,5729316
2014-08-11,125.84,126.04,125.64,125.96,3165498
2014-08-12,126.42,126.81,125.87,125.99,4613407
2014-08-13,126.35,126.53,125.9,126.2,3969676
2014-08-14,126.24,126.53,126.13,126.31,3348451
2014-08-15,124.52,126.07,124.41,125.48,13071958
2014-08-18,124.78,125.08,124.65,124.96,4953347
2014-08-19,125.0,125.0,124.48,124.68,4878772
2014-08-20,124.82,124.82,123.88,124.22,4395911
2014-08-21,122.72,123.24,122.45,122.88,8010459
2014-08-22,123.09,123.33,122.57,123.19,4739968
2014-08-25,122.92,123.04,122.72,122.74,5019903
2014-08-26,123.92,123.97,123.28,123.35,3891112
2014-08-27,123.6,123.71,123.25,123.32,2576944
2014-08-28,124.15,124.33,123.81,124.0,3297757
2014-08-29,123.75,124.22,123.62,123.86,3684122
2014-09-02,121.97,122.08,121.43,121.65,10128581
2014-09-03,121.7,122.2,121.66,122.15,3415925
2014-09-04,122.48,122.66,121.25,121.48,7310640
2014-09-05,121.83,122.06,121.63,122.06,3490704
2014-09-08,121.58,121.61,120.37,120.73,7508620
2014-09-09,120.57,120.94,120.0,120.87,6157321
2014-09-10,120.13,120.54,119.64,120.26,7022579
2014-09-11,119.61,119.7,118.77,119.47,7618266
2014-09-12,118.63,118.9,118.07,118.38,8129457
2014-09-15,118.79,118.86,118.46,118.64,4778579
2014-09-16,118.85,119.43,118.44,118.83,6544481
2014-09-17,118.95,119.24,117.5,117.54,8328712
2014-09-18,117.41,118.09,117.19,117.78,5368874
2014-09-19,117.51,117.57,116.72,117.09,10931243
2014-09-22,116.72,117.37,116.58,116.85,7602075
2014-09-23,117.99,117.99,117.31,117.6,4667327
2014-09-24,117.12,117.72,116.9,117.05,5518416
2014-09-25,116.3,117.76,116.2,117.39,7640357
2014-09-26,117.02,117.1,116.58,117.06,4185425
2014-09-29,117.27,117.4,116.9,117.03,4051047
2014-09-30,116.54,117.35,115.85,116.21,10174560
2014-10-01,116.61,117.26,116.59,116.77,7024201
2014-10-02,116.86,117.21,116.33,116.74,6352009
2014-10-03,115.17,115.51,114.42,114.61,11304593
2014-10-06,115.16,116.31,114.94,116.03,7647060
2014-10-07,116.31,116.63,116.09,116.36,5278476
2014-10-08,117.03,117.71,115.85,117.47,10675551
2014-10-09,117.86,118.26,117.49,117.64,6612637
2014-10-10,117.7,117.74,117.19,117.59,4653307
2014-10-13,118.14,118.66,117.93,118.52,5397633
2014-10-14,118.58,118.82,118.35,118.59,5180665
2014-10-15,119.23,120.18,118.59,118.99,9460425
2014-10-16,119.02,119.65,118.88,119.22,6550140
2014-10-17,119.06,119.23,118.42,118.99,8060834
2014-10-20,119.68,119.86,119.54,119.8,3034916
2014-10-21,120.27,120.5,119.9,120.02,4568269
2014-10-22,119.69,119.79,119.25,119.34,3741487
2014-10-23,118.71,118.82,117.88,118.52,6423205
2014-10-24,118.62,118.63,118.12,118.35,3611311
2014-10-27,118.18,118.37,118.01,118.06,2445376
2014-10-28,118.48,118.48,118.01,118.1,3262626
2014-10-29,117.65,117.91,116.14,116.41,7900772
2014-10-30,115.8,115.83,114.94,115.19,7852239
2014-10-31,111.83,112.88,111.66,112.66,18209615
2014-11-03,112.39,112.68,112.0,112.15,6605175
2014-11-04,112.12,112.71,112.08,112.22,6430111
2014-11-05,109.92,110.84,109.67,109.79,13560114
2014-11-06,109.92,110.49,109.75,109.88,7019854
2014-11-07,110.78,113.15,110.73,112.97,10916540
2014-11-10,112.24,112.24,110.28,110.46,8548523
2014-11-11,111.08,112.76,110.87,112.04,8603165
2014-11-12,112.05,112.17,111.23,111.5,5133300
2014-11-13,111.89,112.26,111.22,111.67,4874598
2014-11-14,110.76,114.72,110.65,114.47,14173586
2014-11-17,113.97,114.27,113.56,114.05,5440990
2014-11-18,114.86,115.17,114.55,115.05,5586694
2014-11-19,114.93,115.35,112.88,113.68,11997742
2014-11-20,114.57,115.02,114.09,114.86,5607779
2014-11-21,115.58,115.96,114.47,115.39,6564258
2014-11-24,115.15,115.37,114.79,115.11,4695022
2014-11-25,115.1,115.47,114.9,115.38,9051813
2014-11-26,115.25,115.34,114.98,115.16,3184017
2014-11-28,113.53,113.83,111.95,112.11,9616332
2014-12-01,113.8,117.36,113.74,116.58,15643964
2014-12-02,115.13,115.71,114.72,115.14,6378105
2014-12-03,115.68,116.76,115.56,116.33,5758821
2014-12-04,116.01,116.34,115.61,115.88,3623615
2014-12-05,115.16,115.18,114.24,114.43,6330980
2014-12-08,114.97,116.16,114.46,115.78,5224491
2014-12-09,117.04,118.99,116.98,118.19,10467158
2014-12-10,118.15,118.47,117.81,117.96,4277427
2014-12-11,116.98,118.38,116.82,117.69,5214467
2014-12-12,117.39,117.8,116.68,117.41,4736535
2014-12-15,116.22,116.97,114.36,114.39,8795987
2014-12-16,116.28,116.5,114.07,114.95,9173964
2014-12-17,115.1,115.48,113.58,114.27,9097329
2014-12-18,115.59,115.81,114.58,115.15,5258103
2014-12-19,115.06,115.22,114.77,114.77,4652333
2014-12-22,114.81,114.97,112.41,112.55,7483195
2014-12-23,112.88,113.32,112.61,112.74,7763327
2014-12-24,112.83,112.92,112.66,112.77,1501552
2014-12-26,114.82,114.98,114.53,114.83,3765581
2014-12-29,114.61,114.64,113.23,113.67,12963725
2014-12-30,114.99,116.26,114.9,115.2,7987311
2014-12-31,114.89,115.0,113.28,113.58,7624198
2015-01-02,112.49,114.8,112.32,114.08,7109594
2015-01-05,114.78,116.0,114.73,115.8,8177350
